Kd_1,Kd_2,aR,gR,dR,gT_1,gT_2,aL_1,aL_2,gL_1,gL_2,gN,N_fold_change
1,0.3162,2.5119,13.8301,0,27.5947,27.5947,0.0631,0.0631,13.8301,13.8301,0.5545177444479562,1.794651406694266
1,0.3162,2.5119,13.8301,0,27.5947,27.5947,0.3981,0.3981,13.8301,13.8301,0.5545177444479562,1.7908223942613848
1,0.3162,2.5119,13.8301,0,27.5947,27.5947,2.5119,2.5119,13.8301,13.8301,0.5545177444479562,1.6885937980274048
1,0.3162,2.5119,13.8301,0,27.5947,27.5947,15.8489,15.8489,13.8301,13.8301,0.5545177444479562,1.2015514902441558
1,0.3162,2.5119,13.8301,0,27.5947,27.5947,100.0,100.0,13.8301,13.8301,0.5545177444479562,1.0318604422221254
1,0.3162,15.8489,13.8301,0,27.5947,27.5947,0.01,0.01,13.8301,13.8301,0.5545177444479562,1.1824836985591767
1,0.3162,15.8489,13.8301,0,27.5947,27.5947,0.0631,0.0631,13.8301,13.8301,0.5545177444479562,1.1828699866942647
1,0.3162,15.8489,13.8301,0,27.5947,27.5947,0.3981,0.3981,13.8301,13.8301,0.5545177444479562,1.185329501765593
1,0.3162,15.8489,13.8301,0,27.5947,27.5947,2.5119,2.5119,13.8301,13.8301,0.5545177444479562,1.201551486646668
1,0.3162,15.8489,13.8301,0,27.5947,27.5947,15.8489,15.8489,13.8301,13.8301,0.5545177444479562,1.2599198219321686
1,0.3162,15.8489,13.8301,0,27.5947,27.5947,100.0,100.0,13.8301,13.8301,0.5545177444479562,1.0364177571909219
1,0.3162,100.0,13.8301,0,27.5947,27.5947,0.01,0.01,13.8301,13.8301,0.5545177444479562,1.0311215227620245
1,0.3162,100.0,13.8301,0,27.5947,27.5947,0.0631,0.0631,13.8301,13.8301,0.5545177444479562,1.031137150620409
1,0.3162,100.0,13.8301,0,27.5947,27.5947,0.3981,0.3981,13.8301,13.8301,0.5545177444479562,1.031234259572809
1,0.3162,100.0,13.8301,0,27.5947,27.5947,2.5119,2.5119,13.8301,13.8301,0.5545177444479562,1.031860432016831
1,0.3162,100.0,13.8301,0,27.5947,27.5947,15.8489,15.8489,13.8301,13.8301,0.5545177444479562,1.0364177582818987
1,0.3162,100.0,13.8301,0,27.5947,27.5947,100.0,100.0,13.8301,13.8301,0.5545177444479562,1.0982426632678302
1,1.0,0.01,13.8301,0,27.5947,27.5947,0.01,0.01,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,0.01,13.8301,0,27.5947,27.5947,0.0631,0.0631,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,0.01,13.8301,0,27.5947,27.5947,0.3981,0.3981,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,0.01,13.8301,0,27.5947,27.5947,2.5119,2.5119,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,0.01,13.8301,0,27.5947,27.5947,15.8489,15.8489,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,0.01,13.8301,0,27.5947,27.5947,100.0,100.0,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,0.0631,13.8301,0,27.5947,27.5947,0.01,0.01,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,0.0631,13.8301,0,27.5947,27.5947,0.0631,0.0631,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,0.0631,13.8301,0,27.5947,27.5947,0.3981,0.3981,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,0.0631,13.8301,0,27.5947,27.5947,2.5119,2.5119,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,0.0631,13.8301,0,27.5947,27.5947,15.8489,15.8489,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,0.0631,13.8301,0,27.5947,27.5947,100.0,100.0,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,0.3981,13.8301,0,27.5947,27.5947,0.01,0.01,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,0.3981,13.8301,0,27.5947,27.5947,0.0631,0.0631,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,0.3981,13.8301,0,27.5947,27.5947,0.3981,0.3981,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,0.3981,13.8301,0,27.5947,27.5947,2.5119,2.5119,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,0.3981,13.8301,0,27.5947,27.5947,15.8489,15.8489,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,0.3981,13.8301,0,27.5947,27.5947,100.0,100.0,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,2.5119,13.8301,0,27.5947,27.5947,0.01,0.01,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,2.5119,13.8301,0,27.5947,27.5947,0.0631,0.0631,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,2.5119,13.8301,0,27.5947,27.5947,0.3981,0.3981,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,2.5119,13.8301,0,27.5947,27.5947,2.5119,2.5119,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,2.5119,13.8301,0,27.5947,27.5947,15.8489,15.8489,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,2.5119,13.8301,0,27.5947,27.5947,100.0,100.0,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,15.8489,13.8301,0,27.5947,27.5947,0.01,0.01,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,15.8489,13.8301,0,27.5947,27.5947,0.0631,0.0631,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,15.8489,13.8301,0,27.5947,27.5947,0.3981,0.3981,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,15.8489,13.8301,0,27.5947,27.5947,2.5119,2.5119,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,15.8489,13.8301,0,27.5947,27.5947,15.8489,15.8489,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,15.8489,13.8301,0,27.5947,27.5947,100.0,100.0,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,100.0,13.8301,0,27.5947,27.5947,0.01,0.01,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,100.0,13.8301,0,27.5947,27.5947,0.0631,0.0631,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,100.0,13.8301,0,27.5947,27.5947,0.3981,0.3981,13.8301,13.8301,0.5545177444479562,1.0
