Kd_t,Kd_c,aR,gR,dR,gT,aL_vals[0],gL,gC,gN,cis_act,cis_inh,startpeak,endpeak,peak_width,sig_change
10.0,6.04,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,64.34,0.0,,,,[0 0 0 0 0 0 0]
10.0,8.02,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,67.1,0.0,,,,[0 0 0 0 0 0 0]
10.0,10.0,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,68.88,0.0,,,,[0 0 0 0 0 0 0]
0.1,0.1,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,71.67,0.0,0.01,,,[0 0 1 0 0 0 0]
0.1,2.08,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,80.08,0.0,0.01,,,[0 0 1 0 0 0 0]
0.1,4.06,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,80.31,0.0,0.01,,,[0 0 1 0 0 0 0]
0.1,6.04,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,80.39,0.0,0.01,,,[0 0 1 0 0 0 0]
0.1,8.02,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,80.43,0.0,0.01,,,[0 0 1 0 0 0 0]
0.1,10.0,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,80.46,0.0,0.01,,,[0 0 1 0 0 0 0]
2.08,0.1,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,7.57,100.7,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,71.08,0.0,,,,[0 0 0 0 0 0 0]
2.08,4.06,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,75.13,0.0,,,,[0 0 0 0 0 0 0]
2.08,6.04,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,76.61,0.0,,,,[0 0 0 0 0 0 0]
2.08,8.02,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,77.38,0.0,,,,[0 0 0 0 0 0 0]
2.08,10.0,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,77.85,0.0,,,,[0 0 0 0 0 0 0]
4.06,0.1,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,4.57,114.85,,,,[0 0 0 0 0 0 0]
4.06,2.08,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,63.57,0.0,,,,[0 0 0 0 0 0 0]
4.06,4.06,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,70.5,0.0,,,,[0 0 0 0 0 0 0]
4.06,6.04,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,73.14,0.0,1.0,,,[0 0 0 0 1 0 0]
4.06,8.02,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,74.54,0.0,1.0,,,[0 0 0 0 1 0 0]
4.06,10.0,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,75.4,0.0,1.0,,,[0 0 0 0 1 0 0]
6.04,0.1,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,3.42,128.42,,,,[0 0 0 0 0 0 0]
6.04,2.08,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,56.94,0.0,,,,[0 0 0 0 0 0 0]
6.04,4.06,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,66.32,0.0,,,,[0 0 0 0 0 0 0]
6.04,6.04,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,69.94,0.0,1.0,,,[0 0 0 0 1 0 0]
6.04,8.02,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,71.87,0.0,1.0,,,[0 0 0 0 1 0 0]
6.04,10.0,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,73.09,0.0,1.0,,,[0 0 0 0 1 0 0]
8.02,0.1,0.07,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,2.81,142.25,,,,[0 0 0 0 0 0 0]
